,symptoms,treatments,drugs,bodyparts
0,"['Palmar-plantar erythrodysesthesia syndrome', 'Carpal Tunnel Syndrome', 'Cancer-Associated Retinopathy', 'Coronavirus Infections', 'Acute gastroenteritis', 'Congenital Thrombotic Thrombocytopenic Purpura', 'Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Osteoporosis with pseudoglioma', 'Lung Diseases, Obstructive', 'Gray Platelet Syndrome', 'Disease', 'Pain', 'rundown']","['Childhood Immunization', 'Surgical repair', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'answer questions']",[],"['Structure of supraoptic nucleus', 'Structure of putamen', 'Gut', 'Downy hair', 'Foot', 'Nucleus raphe obscurus']"
1,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'cold symptoms', 'Lung Diseases, Obstructive', 'Testicular regression syndrome', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'Anosmia']","['Modest-Temperature Hyperthermia', 'Toothbrushing', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Scraping', 'Therapeutic procedure', 'Osteogenesis, Distraction']",[],"['Sensory nerve', 'Neural Pathways', 'Entire tongue', 'Entire nerve', 'Brain', 'bony process', 'Lung', 'Nose']"
2,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Chronic otitis media', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Lung Diseases, Obstructive', 'Herpes', 'organic disorders', 'AICARDI-GOUTIERES SYNDROME 1', 'Coronavirus Infections', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'Disease', 'Fever with chills', 'Generalized fatigue', 'Fatigue', 'Sore to touch']","['Antiretroviral therapy', 'Expulsion (procedure)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Assisted Reproductive Technologies', 'bleomycin/methotrexate/vincristine protocol', 'Isolation procedure', 'Therapeutic procedure', 'Visceral manipulation', 'Anchoring procedure']",[],"['Respiratory Diaphragm', 'Organ', 'bony process']"
3,"['Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'Communicable Diseases', 'Diabetes', 'Common Cold', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Lung Diseases, Obstructive', 'Coronavirus Infections', 'Pancreatitis', 'Rhinorrhea', 'Anosmia', 'Coughing', 'Asthenia', 'Dyspnea']","['Treated with', 'Quarantine', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage', 'bleomycin/methotrexate/vincristine protocol', 'Therapeutic procedure', 'Osteogenesis, Distraction', 'Cardiac Lead Procedure']",[],"['Gallbladder', 'Nose']"
4,"['Blind Vision', 'Gonorrhea', 'Geroderma osteodysplastica', 'Idiopathic Multicentric Osteolyses', 'Carpal Tunnel Syndrome', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Hyperostosis, Diffuse Idiopathic Skeletal', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Halitosis']","['Single Embryo Transfer', 'Immobilization', 'Cardiovascular Surgical Procedures', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Reduction - action', 'Cardiac Lead Procedure']",['ALCOHOL/BENZOIC ACID/EUCALYPTOL/METHYL SALICYLATE/THYMOL LIQUID'],"['Entire nose', 'Mandibular right first molar', 'Entire throat (surface region of neck)', 'Hand', 'Structure of root of nose', 'Common carotid artery', 'Entire nasal passage', 'Lung', 'Nose']"
5,"['Communicable Diseases', 'Influenza', 'Lung Diseases, Obstructive', 'Encephalopathy, Bovine Spongiform', 'Coronavirus Infections']","['Adoptive Immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[],"['Eye', 'Nose']"
6,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Carotid Artery Diseases', 'Gum Infection', 'Gingival Diseases', 'Myocardial Infarction', 'Lung Diseases, Obstructive', 'Infection of tooth', 'Dental caries', 'Acute gastroenteritis', 'Disease', 'Pain', 'Asthenia']","['Extraction', 'Root Canal Therapy', 'Surgical and medical procedures', 'Interventional procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Therapeutic radiology procedure']",[],"['Deciduous maxillary right second molar tooth', 'Molar tooth', 'Entire head', 'Gingiva', 'Deciduous maxillary left first molar tooth', 'Body Parts - Canal', 'Structure of putamen', 'Entire tooth', 'Tooth structure', 'Brain']"
7,"['Congenital Thrombotic Thrombocytopenic Purpura', 'Communicable Diseases', ""Little's Disease"", 'Secondary Infections', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Metabolic Diseases', 'Actual Inability To Taste', 'Other symptoms']","['Modest-Temperature Hyperthermia', 'Treated with', 'Quarantine', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure', 'Release (procedure)', 'disorder control (procedure)', 'Cardiac Lead Procedure']",[],['Downy hair']
8,['Gout'],"['Procedures involving the use of pharmaceuticals', 'Therapeutic procedure']",[],['Common carotid artery']
9,"['Gonorrhea', 'Geroderma osteodysplastica', 'Acute gastroenteritis', 'AICARDI-GOUTIERES SYNDROME 1', 'Anosmia']","['Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage', 'bleomycin/methotrexate/vincristine protocol', 'answer questions', 'Vaccination', 'Presence', 'Detection', 'Visceral manipulation']",[],['Entire face']
10,"['Gonorrhea', 'Geroderma osteodysplastica']",['cisplatin/etoposide/mitoxantrone/tamoxifen protocol'],[],['Respiratory Diaphragm']
11,"['Gonorrhea', 'Geroderma osteodysplastica', 'Adynamic bone disease', 'Cancer-Associated Retinopathy', 'gastrointestinal gas']","['Obstetric Delivery', 'Adoptive Immunotherapy', 'Incision and drainage', 'Calming']",[],"['Entire head', 'Hand', 'Eye', 'Structure of putamen', 'Entire appendix', 'Entire hand', 'Entire abdomen', 'Entire face', 'Entire upper limb']"
12,"['Common Cold', 'Influenza', 'Lung Diseases, Obstructive', 'Coronavirus Infections', 'Seizures']","['Inoculation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol']",[],['Hand']
13,['Chronic Obstructive Airway Disease'],"['5 minutes Office visit', 'Anterior decompression of shoulder joint', 'Quarantine', 'Percutaneous Coronary Intervention', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol', 'Orthokeratology']",[],"['Common carotid artery', 'Foot']"
14,"['Gonorrhea', 'Geroderma osteodysplastica', 'organic disorders', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'Coronavirus Infections', 'Disease', 'digestive problem', 'Cardiovascular symptoms', 'Fatigue', 'Abnormal breathing']","['Modest-Temperature Hyperthermia', 'Antiretroviral therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Assisted Reproductive Technologies', 'Incision and drainage']",[],"['Common carotid artery', 'Lung']"
15,"['Gonorrhea', 'Geroderma osteodysplastica', 'Smallpox', 'Pseudohypoparathyroidism', 'Communicable Diseases', 'Pharyngitis', 'Immune System Diseases', 'Pseudohypoparathyroidism, Type Ia', 'Influenza', 'Phlebotomus Fever', 'Wolf-Hirschhorn Syndrome', 'AICARDI-GOUTIERES SYNDROME 1', 'Blue - symptom', 'Fatigue', 'Sore Throat', 'Headache']","['Modest-Temperature Hyperthermia', 'Childhood Immunization', 'Ligamentous articular strain technique', 'Percutaneous Coronary Intervention', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Primary operation', 'Reminding', 'bleomycin/methotrexate/vincristine protocol', 'Release (procedure)', 'Discussion (procedure)']",[],"['Common carotid artery', 'Entire face', 'Downy hair', 'Foot']"
16,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Periodic Alternating Nystagmus', 'Carpal Tunnel Syndrome', 'Chronic otitis media', 'Influenza due to Influenza A virus subtype H1N1', 'Lung Diseases, Obstructive', 'Polyarteritis Nodosa', 'Tropical Disease', 'Coronavirus Infections', 'Curb', 'Signs and Symptoms']","['Modest-Temperature Hyperthermia', 'Booster', 'Physical therapy', 'Injection of therapeutic agent', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'cyclophosphamide/methotrexate/prednisone/vincristine protocol', 'bleomycin/methotrexate/vincristine protocol', 'Vaccination', 'Procedures involving the use of pharmaceuticals', 'Discussion (procedure)']",[],"['Structure of putamen', 'Para-aortic node', 'Entire upper limb']"
17,"['Gonorrhea', 'Geroderma osteodysplastica', 'Temporohyoid osteoarthropathy', 'Allergic disposition', 'Communicable Diseases', 'MAMMARY-DIGITAL-NAIL SYNDROME', 'Pharyngitis', 'Common Cold', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Influenza', 'Coronavirus Infections', 'Rhinorrhea', 'BODY PAIN', 'Signs and Symptoms', 'Fatigue', 'Sore Throat', 'Headache', 'Coughing']","['Quarantine', 'Percutaneous Coronary Intervention', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage', 'Trans-hiatal esophagectomy', 'bleomycin/methotrexate/vincristine protocol', 'Release (procedure)']",[],"['Inferior esophageal sphincter structure', 'Blood Vessel']"
18,"['Communicable Diseases', 'Severe Acute Respiratory Syndrome', 'Influenza', 'Lung Diseases, Obstructive', 'Disease', 'Arthralgia', 'Actual Inability To Taste', 'Anosmia', 'Diarrhea', 'Vomiting', 'Nausea', 'Myalgia', 'Coughing']","['Imbrication (procedure)', 'Osteogenesis, Distraction']",[],['Common carotid artery']
19,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Lung Diseases, Obstructive', 'Acute gastroenteritis']",['cisplatin/etoposide/mitoxantrone/tamoxifen protocol'],[],['Entire putamen']
20,"['Tachycardia, Ectopic Junctional', 'Multi-infarct dementia', 'Communicable Diseases', 'Subacute thyroiditis', 'Carpal Tunnel Syndrome', 'Influenza', 'Chronic articular rheumatism', 'Gerstmann-Straussler-Scheinker Disease', 'Testicular regression syndrome', 'Coronavirus Infections', 'Pyotraumatic dermatitis', 'Gonorrhea', 'Geroderma osteodysplastica', 'Oculocerebrocutaneous syndrome', 'Osteochondritis Dissecans', 'Chronic otitis media', 'Lung Diseases, Obstructive', 'Diabetic Autonomic Neuropathy', 'Gray Platelet Syndrome', 'Mass of body region', 'gastrointestinal gas', 'Flare', 'Catch - Finding of sensory dimension of pain', 'Coughing']","['Transjugular intrahepatic portosystemic shunt procedure', 'Induced abortion (procedure)', 'Quarantine', 'Work conditioning', 'Coronary Artery Bypass Surgery', 'Incision and drainage', 'Tannenbaum electroanalgesia method', 'prevention of disorder', 'Crushing procedure', 'Osteogenesis, Distraction', 'Removal by grinding', 'Cardiac Lead Procedure', 'Modest-Temperature Hyperthermia', '5 minutes Office visit', 'Obstetric Delivery', 'nursing therapy', 'Total shoulder replacement', 'Therapeutic tactile stimulation', 'Adoptive Immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Surgical construction', 'Direct Method', 'Orthokeratology']",[],"['Entire head', 'Organ', 'Hand', 'Entire nerve', 'Structure of putamen', 'Structure of inferior alveolar nerve', 'Quarter of the Udder', 'Entire face', 'Downy hair']"
21,"['Pharyngitis', 'Influenza', 'Anosmia', 'slight fever', 'Multiple symptoms', 'Sore Throat']","['Obstetric Delivery', 'Quarantine', 'Percutaneous Coronary Intervention', 'Adoptive Immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure']",[],"['Hand', 'Eye']"
22,"['Smallpox', 'Communicable Diseases', 'Poliomyelitis', 'Carpal Tunnel Syndrome', 'Liver Abscess, Amebic', 'Measles', 'Erectile dysfunction', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Dysosteosclerosis', 'Communicable Diseases, Emerging', 'Lung Diseases, Obstructive', 'Strangles', 'Gray Platelet Syndrome', 'Mass of body region', 'Clouded consciousness']","['Inoculation', 'Placebos', 'Administration procedure', 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Sterilization for infection control', 'Release (procedure)', 'HAC protocol', 'Procedures involving the use of pharmaceuticals', 'Orthokeratology']",[],"['Heart', 'Structure of retinal pigment epithelium', 'Entire putamen', 'Integumentary scale', 'bony process', 'Entire upper limb', 'Body organ structure']"
23,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pulmonary Emphysema', 'Dysosteosclerosis', 'Osteoporosis with pseudoglioma', 'Alpha trait thalassemia', 'Carpal Tunnel Syndrome', 'Lung Diseases, Obstructive', 'Acute gastroenteritis', 'Disease', 'Gray Platelet Syndrome', 'Pulmonary Emphysema', 'Alpha trait thalassemia', 'Disease']","['nursing therapy', 'Placebos', 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Procedures involving the use of pharmaceuticals', 'Placebos', 'Incision and drainage']",[],[]
24,"['Coronavirus Infections', 'Coughing', 'Pain', 'Clouded consciousness']",['Liquid diet'],[],"['Entire throat (surface region of neck)', 'Hand', 'Root body part', 'Eye', 'bony process', 'Lung', 'Entire face', 'Nose']"
25,['Mass of body region'],['5 minutes Office visit'],[],['Hippocampus Proper']
26,"['Chronic disease', 'Coronavirus Infections', 'Asymptomatic Diseases', 'BODY ACHE', 'Lightheadedness', 'Chills']","['nursing therapy', 'Quarantine', 'Spatial guidance for medical procedure']",[],"['Lanugo', 'Nose']"
27,"['Pyotraumatic dermatitis', 'Coughing']",['Therapeutic tactile stimulation'],[],"['Supernumerary mandibular right central primary incisor', 'Wing', 'Hand', 'Entire throat (surface region of neck)', 'Eye', 'Entire hand', 'Entire ear', 'Nose', 'Upper lip structure']"
28,"['Communicable Diseases', 'Influenza']","['Quarantine', 'Incision and drainage']",[],['Hand']
29,"['Severe Acute Respiratory Syndrome', 'Pulmonary Emphysema', 'Pulmonary Fibrosis', 'Influenza', 'Papillon-Lefevre Disease', 'Dengue Fever', 'BODY ACHE', 'Sore Throat', 'Weakness', 'Chills']","['Incision and drainage', 'Urgent Procedure']",[],[]
