,symptoms,treatments,drugs,bodyparts
0,"['palmar-plantar erythrodysesthesia syndrome', 'carpal tunnel syndrome', 'cancer-associated retinopathy', 'coronavirus infections', 'acute gastroenteritis', 'congenital thrombotic thrombocytopenic purpura', 'gonorrhea', 'geroderma osteodysplastica', 'sexually transmitted diseases', 'osteoporosis with pseudoglioma', 'lung diseases, obstructive', 'gray platelet syndrome', 'disease', 'pain', 'rundown']","['childhood immunization', 'surgical repair', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'answer questions']",[],"['structure of supraoptic nucleus', 'structure of putamen', 'gut', 'downy hair', 'foot', 'nucleus raphe obscurus']"
1,"['gonorrhea', 'geroderma osteodysplastica', ""little's disease"", 'cold symptoms', 'lung diseases, obstructive', 'testicular regression syndrome', 'progressive encephalomyelitis with rigidity', 'anosmia']","['modest-temperature hyperthermia', 'toothbrushing', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'scraping', 'therapeutic procedure', 'osteogenesis, distraction']",[],"['sensory nerve', 'neural pathways', 'entire tongue', 'entire nerve', 'brain', 'bony process', 'lung', 'nose']"
2,"['gonorrhea', 'geroderma osteodysplastica', 'communicable diseases', 'chronic otitis media', 'short stature, idiopathic, x-linked', 'lung diseases, obstructive', 'herpes', 'organic disorders', 'aicardi-goutieres syndrome 1', 'coronavirus infections', 'progressive encephalomyelitis with rigidity', 'disease', 'fever with chills', 'generalized fatigue', 'fatigue', 'sore to touch']","['antiretroviral therapy', 'expulsion (procedure)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'assisted reproductive technologies', 'bleomycin/methotrexate/vincristine protocol', 'isolation procedure', 'therapeutic procedure', 'visceral manipulation', 'anchoring procedure']",[],"['respiratory diaphragm', 'organ', 'bony process']"
3,"['gonorrhea', 'geroderma osteodysplastica', 'allergic disposition', 'communicable diseases', 'diabetes', 'common cold', 'influenza', 'short stature, idiopathic, x-linked', 'lung diseases, obstructive', 'coronavirus infections', 'pancreatitis', 'rhinorrhea', 'anosmia', 'coughing', 'asthenia', 'dyspnea']","['treated with', 'quarantine', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'incision and drainage', 'bleomycin/methotrexate/vincristine protocol', 'therapeutic procedure', 'osteogenesis, distraction', 'cardiac lead procedure']",[],"['gallbladder', 'nose']"
4,"['blind vision', 'gonorrhea', 'geroderma osteodysplastica', 'idiopathic multicentric osteolyses', 'carpal tunnel syndrome', 'influenza', 'short stature, idiopathic, x-linked', 'hyperostosis, diffuse idiopathic skeletal', 'premature chromatid separation trait', 'halitosis']","['single embryo transfer', 'immobilization', 'cardiovascular surgical procedures', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'reduction - action', 'cardiac lead procedure']",['alcohol/benzoic acid/eucalyptol/methyl salicylate/thymol liquid'],"['entire nose', 'mandibular right first molar', 'entire throat (surface region of neck)', 'hand', 'structure of root of nose', 'common carotid artery', 'entire nasal passage', 'lung', 'nose']"
5,"['communicable diseases', 'influenza', 'lung diseases, obstructive', 'encephalopathy, bovine spongiform', 'coronavirus infections']","['adoptive immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[],"['eye', 'nose']"
6,"['gonorrhea', 'geroderma osteodysplastica', 'communicable diseases', 'carotid artery diseases', 'gum infection', 'gingival diseases', 'myocardial infarction', 'lung diseases, obstructive', 'infection of tooth', 'dental caries', 'acute gastroenteritis', 'disease', 'pain', 'asthenia']","['extraction', 'root canal therapy', 'surgical and medical procedures', 'interventional procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'therapeutic radiology procedure']",[],"['deciduous maxillary right second molar tooth', 'molar tooth', 'entire head', 'gingiva', 'deciduous maxillary left first molar tooth', 'body parts - canal', 'structure of putamen', 'entire tooth', 'tooth structure', 'brain']"
7,"['congenital thrombotic thrombocytopenic purpura', 'communicable diseases', ""little's disease"", 'secondary infections', 'premature chromatid separation trait', 'metabolic diseases', 'actual inability to taste', 'other symptoms']","['modest-temperature hyperthermia', 'treated with', 'quarantine', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'isolation procedure', 'release (procedure)', 'disorder control (procedure)', 'cardiac lead procedure']",[],['downy hair']
8,['gout'],"['procedures involving the use of pharmaceuticals', 'therapeutic procedure']",[],['common carotid artery']
9,"['gonorrhea', 'geroderma osteodysplastica', 'acute gastroenteritis', 'aicardi-goutieres syndrome 1', 'anosmia']","['modest-temperature hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'incision and drainage', 'bleomycin/methotrexate/vincristine protocol', 'answer questions', 'vaccination', 'presence', 'detection', 'visceral manipulation']",[],['entire face']
10,"['gonorrhea', 'geroderma osteodysplastica']",['cisplatin/etoposide/mitoxantrone/tamoxifen protocol'],[],['respiratory diaphragm']
11,"['gonorrhea', 'geroderma osteodysplastica', 'adynamic bone disease', 'cancer-associated retinopathy', 'gastrointestinal gas']","['obstetric delivery', 'adoptive immunotherapy', 'incision and drainage', 'calming']",[],"['entire head', 'hand', 'eye', 'structure of putamen', 'entire appendix', 'entire hand', 'entire abdomen', 'entire face', 'entire upper limb']"
12,"['common cold', 'influenza', 'lung diseases, obstructive', 'coronavirus infections', 'seizures']","['inoculation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol']",[],['hand']
13,['chronic obstructive airway disease'],"['5 minutes office visit', 'anterior decompression of shoulder joint', 'quarantine', 'percutaneous coronary intervention', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol', 'orthokeratology']",[],"['common carotid artery', 'foot']"
14,"['gonorrhea', 'geroderma osteodysplastica', 'organic disorders', 'progressive encephalomyelitis with rigidity', 'coronavirus infections', 'disease', 'digestive problem', 'cardiovascular symptoms', 'fatigue', 'abnormal breathing']","['modest-temperature hyperthermia', 'antiretroviral therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'assisted reproductive technologies', 'incision and drainage']",[],"['common carotid artery', 'lung']"
15,"['gonorrhea', 'geroderma osteodysplastica', 'smallpox', 'pseudohypoparathyroidism', 'communicable diseases', 'pharyngitis', 'immune system diseases', 'pseudohypoparathyroidism, type ia', 'influenza', 'phlebotomus fever', 'wolf-hirschhorn syndrome', 'aicardi-goutieres syndrome 1', 'blue - symptom', 'fatigue', 'sore throat', 'headache']","['modest-temperature hyperthermia', 'childhood immunization', 'ligamentous articular strain technique', 'percutaneous coronary intervention', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'primary operation', 'reminding', 'bleomycin/methotrexate/vincristine protocol', 'release (procedure)', 'discussion (procedure)']",[],"['common carotid artery', 'entire face', 'downy hair', 'foot']"
16,"['gonorrhea', 'geroderma osteodysplastica', 'pallister-hall syndrome', 'periodic alternating nystagmus', 'carpal tunnel syndrome', 'chronic otitis media', 'influenza due to influenza a virus subtype h1n1', 'lung diseases, obstructive', 'polyarteritis nodosa', 'tropical disease', 'coronavirus infections', 'curb', 'signs and symptoms']","['modest-temperature hyperthermia', 'booster', 'physical therapy', 'injection of therapeutic agent', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'cyclophosphamide/methotrexate/prednisone/vincristine protocol', 'bleomycin/methotrexate/vincristine protocol', 'vaccination', 'procedures involving the use of pharmaceuticals', 'discussion (procedure)']",[],"['structure of putamen', 'para-aortic node', 'entire upper limb']"
17,"['gonorrhea', 'geroderma osteodysplastica', 'temporohyoid osteoarthropathy', 'allergic disposition', 'communicable diseases', 'mammary-digital-nail syndrome', 'pharyngitis', 'common cold', 'short stature, idiopathic, x-linked', 'influenza', 'coronavirus infections', 'rhinorrhea', 'body pain', 'signs and symptoms', 'fatigue', 'sore throat', 'headache', 'coughing']","['quarantine', 'percutaneous coronary intervention', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'incision and drainage', 'trans-hiatal esophagectomy', 'bleomycin/methotrexate/vincristine protocol', 'release (procedure)']",[],"['inferior esophageal sphincter structure', 'blood vessel']"
18,"['communicable diseases', 'severe acute respiratory syndrome', 'influenza', 'lung diseases, obstructive', 'disease', 'arthralgia', 'actual inability to taste', 'anosmia', 'diarrhea', 'vomiting', 'nausea', 'myalgia', 'coughing']","['imbrication (procedure)', 'osteogenesis, distraction']",[],['common carotid artery']
19,"['gonorrhea', 'geroderma osteodysplastica', 'sexually transmitted diseases', 'lung diseases, obstructive', 'acute gastroenteritis']",['cisplatin/etoposide/mitoxantrone/tamoxifen protocol'],[],['entire putamen']
20,"['tachycardia, ectopic junctional', 'multi-infarct dementia', 'communicable diseases', 'subacute thyroiditis', 'carpal tunnel syndrome', 'influenza', 'chronic articular rheumatism', 'gerstmann-straussler-scheinker disease', 'testicular regression syndrome', 'coronavirus infections', 'pyotraumatic dermatitis', 'gonorrhea', 'geroderma osteodysplastica', 'oculocerebrocutaneous syndrome', 'osteochondritis dissecans', 'chronic otitis media', 'lung diseases, obstructive', 'diabetic autonomic neuropathy', 'gray platelet syndrome', 'mass of body region', 'gastrointestinal gas', 'flare', 'catch - finding of sensory dimension of pain', 'coughing']","['transjugular intrahepatic portosystemic shunt procedure', 'induced abortion (procedure)', 'quarantine', 'work conditioning', 'coronary artery bypass surgery', 'incision and drainage', 'tannenbaum electroanalgesia method', 'prevention of disorder', 'crushing procedure', 'osteogenesis, distraction', 'removal by grinding', 'cardiac lead procedure', 'modest-temperature hyperthermia', '5 minutes office visit', 'obstetric delivery', 'nursing therapy', 'total shoulder replacement', 'therapeutic tactile stimulation', 'adoptive immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'surgical construction', 'direct method', 'orthokeratology']",[],"['entire head', 'organ', 'hand', 'entire nerve', 'structure of putamen', 'structure of inferior alveolar nerve', 'quarter of the udder', 'entire face', 'downy hair']"
21,"['pharyngitis', 'influenza', 'anosmia', 'slight fever', 'multiple symptoms', 'sore throat']","['obstetric delivery', 'quarantine', 'percutaneous coronary intervention', 'adoptive immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'isolation procedure']",[],"['hand', 'eye']"
22,"['smallpox', 'communicable diseases', 'poliomyelitis', 'carpal tunnel syndrome', 'liver abscess, amebic', 'measles', 'erectile dysfunction', 'progressive encephalomyelitis with rigidity', 'gonorrhea', 'geroderma osteodysplastica', 'sexually transmitted diseases', 'dysosteosclerosis', 'communicable diseases, emerging', 'lung diseases, obstructive', 'strangles', 'gray platelet syndrome', 'mass of body region', 'clouded consciousness']","['inoculation', 'placebos', 'administration procedure', 'therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'sterilization for infection control', 'release (procedure)', 'hac protocol', 'procedures involving the use of pharmaceuticals', 'orthokeratology']",[],"['heart', 'structure of retinal pigment epithelium', 'entire putamen', 'integumentary scale', 'bony process', 'entire upper limb', 'body organ structure']"
23,"['gonorrhea', 'geroderma osteodysplastica', 'pulmonary emphysema', 'dysosteosclerosis', 'osteoporosis with pseudoglioma', 'alpha trait thalassemia', 'carpal tunnel syndrome', 'lung diseases, obstructive', 'acute gastroenteritis', 'disease', 'gray platelet syndrome', 'pulmonary emphysema', 'alpha trait thalassemia', 'disease']","['nursing therapy', 'placebos', 'incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'procedures involving the use of pharmaceuticals', 'placebos', 'incision and drainage']",[],[]
24,"['coronavirus infections', 'coughing', 'pain', 'clouded consciousness']",['liquid diet'],[],"['entire throat (surface region of neck)', 'hand', 'root body part', 'eye', 'bony process', 'lung', 'entire face', 'nose']"
25,['mass of body region'],['5 minutes office visit'],[],['hippocampus proper']
26,"['chronic disease', 'coronavirus infections', 'asymptomatic diseases', 'body ache', 'lightheadedness', 'chills']","['nursing therapy', 'quarantine', 'spatial guidance for medical procedure']",[],"['lanugo', 'nose']"
27,"['pyotraumatic dermatitis', 'coughing']",['therapeutic tactile stimulation'],[],"['supernumerary mandibular right central primary incisor', 'wing', 'hand', 'entire throat (surface region of neck)', 'eye', 'entire hand', 'entire ear', 'nose', 'upper lip structure']"
28,"['communicable diseases', 'influenza']","['quarantine', 'incision and drainage']",[],['hand']
29,"['severe acute respiratory syndrome', 'pulmonary emphysema', 'pulmonary fibrosis', 'influenza', 'papillon-lefevre disease', 'dengue fever', 'body ache', 'sore throat', 'weakness', 'chills']","['incision and drainage', 'urgent procedure']",[],[]
30,"['secondary bacterial pneumonia', 'smallpox', 'communicable diseases', 'infectious disease of lung', 'aspergilloma', 'poliomyelitis', 'pneumonia', 'respiratory tract infections', 'influenza', 'mycoses', 'pneumonia, bacterial', 'coronavirus infections', 'hemorrhagic fever, ebola', 'trigger finger disorder', 'bacterial infections', 'virus diseases', 'primary infection nos', 'sepsis', 'mumps', 'asthma', 'secondary infections', 'disease', 'rundown']","['injection of therapeutic agent', 'vaccination']",[],"['immune system part', 'entire respiratory tract', 'pharyngeal structure', 'lung']"
31,"['communicable diseases', 'coinfection', 'virus diseases']",[],[],[]
32,"['dermatologic disorders', 'connective tissue diseases']",['incision and drainage'],[],['entire nose']
33,"['obesity', 'hypertensive disease', 'diabetes mellitus', 'lung diseases', 'chronic disease', 'kidney diseases', 'coronavirus infections', 'disease']",['prophylactic treatment'],[],"['heart', 'hippocampus proper', 'lung']"
34,"['hypertensive disease', 'diabetes mellitus', 'asthma', 'seizures', 'signs and symptoms', 'coughing', 'nervousness']","['meditation therapy', 'incision and drainage', 'isolation procedure', 'exercise pain management', 'therapeutic procedure', 'diabete system', 'fitting of shoe']",[],[]
35,"['osteoporosis', 'vitamin d deficiency', 'disease', 'flushing', 'clouded consciousness']","['treated with', 'drugs', 'nursing therapy', 'interventional procedure', 'detection', 'dietary supplementation', 'therapeutic procedure', 'cardiac lead procedure', 'peripheral electronic nerve stimulation']",[],"['hand', 'distal intermedial ridge of tibia', 'skeletal bone']"
36,"['obesity', 'common cold', 'interstitial emphysema', 'coronavirus infections', 'pyotraumatic dermatitis', 'disease', 'signs and symptoms', 'overweight']","['injection of therapeutic agent', 'incision and drainage', 'prophylactic treatment', 'special diet therapy', 'exercise pain management', 'special diet', 'insertion of pack (procedure)']",[],"['heart', 'quarter of the udder', '20s', 'entire face', 'lung', 'skeletal bone']"
